,,,,,,,,,,,,,,,,,,,,,
Start,Start Country,Start Lat,Start Long,End,End Country,End Lat,End Long,Year, Price , lower bound , upper bound ,CCY, USD equiv , USD equiv avg ,1 person?,Nationality of Migrant,Nationality of Smuggler,Service,Via,Source,Comment
China,China,,,Canary Islands,Spain,,,2007,,"  10,000 ","  20,000 ",EUR, 13330-26670 ,"  20,000 ",TRUE,Chinese,,Boat and plane,"Guinea/Mauritania/Senegal, Canary Islands","UNODC, 2011, https://www.unodc.org/documents/human-trafficking/Migrant-Smuggling/Report_SOM_West_Africa_EU.pdf","Plane to Guinea, Mauritania, or Senegal, then boat to Canary Islands, then plane to mainland Spain"
Dakar,Senegal,,,Canary Islands,Spain,,,2006,  760 ,,,EUR,  950 ,  950 ,TRUE,Senegalese,,Overland and boat,Ziguinchor,"Alessandro Triulzi and Robert Lawrence McKenzie, 2013, Long Journeys: African Migrants on the Road","Overland from Dakar to Ziguinchor, then boat to Canary Islands"
El Aaiun,Western Sahara,,,Canary Islands,Spain,,,2005,"  2,100 ",,,EUR,"  2,520 ","  2,520 ",TRUE,,,Boat,,"Pauline Carnet, 2011, https://hal.archives-ouvertes.fr/tel-00691680/document",
El Aaiun,Western Sahara,,,Canary Islands,Spain,,,2007,"  2,000 ",,,EUR,"  2,670 ","  2,670 ",TRUE,,,Boat,,http://www.unodc.org/documents/data-and-analysis/tocta/TOCTA_Report_2010_low_res.pdf,
Mauritania,Mauritania,,,Canary Islands,Spain,,,2007,,"  1,500 ","  2,000 ",EUR, 2000-2670 ,"  2,335 ",TRUE,,,Boat,,http://www.unodc.org/documents/data-and-analysis/tocta/TOCTA_Report_2010_low_res.pdf,Small wooden boats or inflatable rafts
Mauritania,Mauritania,,,Canary Islands,Spain,,,2005,,"  2,500 ","  3,000 ",EUR, 3000-3600 ,"  3,300 ",TRUE,,,Boat,,"Autrepart, 2005, http://www.cairn.info/revue-autrepart-2005-4-page-21.htm",
Mauritania,Mauritania,,,Canary Islands,Spain,,,2009,,  800 ,"  1,000 ",EUR, 1130-1410 ,"  1,270 ",TRUE,,,Boat,,"UNODC, 2011, https://www.unodc.org/documents/human-trafficking/Migrant-Smuggling/Report_SOM_West_Africa_EU.pdf",Large canoe
Morocco,Morocco,,,Canary Islands,Spain,,,2007,,"  1,500 ","  2,000 ",EUR, 2000-2670 ,"  2,335 ",TRUE,,,Boat,,http://www.unodc.org/documents/data-and-analysis/tocta/TOCTA_Report_2010_low_res.pdf,Small wooden boats or inflatable rafts
Morocco,Morocco,,,Canary Islands,Spain,,,2006,  880 ,,,USD,  880 ,  880 ,TRUE,,,Unknown,,http://www.unhcr.org/49e479ca0.pdf,
Morocco,Morocco,,,Canary Islands,Spain,,,2004,  400 ,,,EUR,  480 ,  480 ,TRUE,,,Unknown,,https://www.bfm.admin.ch/dam/data/bfm/publiservice/service/forschung/illegale_migrationpublic.pdf,p. 6
Morocco,Morocco,,,Canary Islands,Spain,,,2006,  880 ,,,USD,  800 ,  800 ,TRUE,,,Boat,,"UNHCR, 2007, http://www.unhcr.org/49e479ca0.pdf",
Nouadhibou,Mauritania,,,Canary Islands,Spain,,,2006,"  1,260 ",,,USD,"  1,260 ","  1,260 ",TRUE,,,Unknown,,http://www.unhcr.org/49e479ca0.pdf,
